Title,Authors,Journal,Publication date,Research area,Cell Line,Cell Type,Species,Analyzer,XF Assay,Plate Reader Assay,Seeding density,Plate coating
Increased mitochondrial function downstream from KDM5A histone demethylase rescues differentiation in pRB-deficient cells,"V�raljai R, Islam AB, Beshiri ML, Rehman J, Lopez-Bigas N, Benevolenskaya EV",Genes Dev,Sep 1 2015 12:00 AM,Cancer Research,MEF,Embryonic Fibroblasts,Mouse,96,Glycolysis Stress Test,,1.0 x10^4 cells/well,poly-D-lysine
Increased mitochondrial function downstream from KDM5A histone demethylase rescues differentiation in pRB-deficient cells,"V�raljai R, Islam AB, Beshiri ML, Rehman J, Lopez-Bigas N, Benevolenskaya EV",Genes Dev,Sep 1 2015 12:00 AM,Cancer Research,MEF,Embryonic Fibroblasts,Mouse,96,Substrate utilization,,1.0 x10^4 cells/well,poly-D-lysine
Increased mitochondrial function downstream from KDM5A histone demethylase rescues differentiation in pRB-deficient cells,"V�raljai R, Islam AB, Beshiri ML, Rehman J, Lopez-Bigas N, Benevolenskaya EV",Genes Dev,Sep 1 2015 12:00 AM,Cancer Research,MEF,Embryonic Fibroblasts,Mouse,96,Fatty Acid Oxidation,,1.0 x10^4 cells/well,poly-D-lysine
Increased oxidative phosphorylation in response to acute and chronic DNA damage,"Brace, Lear E, Vose, Sarah C,  Stanya, Kristopher, Gathungu, Rose M, Marur, Vasant R,Longchamp, Alban ,  Trevi�o-Villarreal, Humberto,  Mejia, Pedro,  Vargas, Dorathy,  Inouye, Karen, Bronson, Roderick T, Lee, Chih-Hao, Neilan, Edward, Kristal,  Bruce S a",Aging and Mechanisms of Disease,Oct 1 2016 12:00 AM,Aging Research,CX,Primary Dermal Fibroblast,mouse,96,Fatty Acid Oxidation,,18000,
Increased proton leak and SOD2 expression in myotubes from obese non-diabetic subjects with a family history of type 2 diabetes,"Aguer C, Pasqua M, Thrush AB, Moffat C, McBurney M, Jardine K, Zhang R, Beauchamp B, Dent R, McPherson R, Harper ME.",Biochim Biophys Acta,Oct 1 2013 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Myotubes,Myotubes,Human,24,Cell Mitochondrial Stress Test,,2.0x10^4 cells/well,Not Specified
Increased Pyruvate Dehydrogenase Kinase 4 Expression in Lung Pericytes Is Associated with Reduced Endothelial-Pericyte Interactions and Small Vessel Loss in Pulmonary Arterial Hypertension,"Yuan K, Shao NY, Hennigs JK, Discipulo M, Orcholski ME, Shamskhou E, Richter A, Hu X, Wu JC, de Jesus Perez V",Am J Pathol,Jul 1 2016 12:00 AM,Cardiovascular Research,Pericytes,Endothelial Cells,Human,24,Glycolysis Stress Test,,3.0 x10^4 cells/well,Not Specified
Increased Serotonin Signaling Contributes to the Warburg Effect in Pancreatic Tumor Cells Under Metabolic Stress and Promotes Growth of Pancreatic Tumors in Mice,"S. H. Jiang, J. Li, F. Y. Dong, J. Y. Yang, D. J. Liu, X. M. Yang, Y. H. Wang, M. W. Yang, X. L. Fu, X. X. Zhang, Q. Li, X. F. Pang, Y. M. Huo, J. Li, J. F. Zhang, H. Y. Lee, S. J. Lee, W. X. Qin, J. R. Gu, Y. W. Sun and Z. G. Zhang",Gastroenterology,Jul 1 2017 12:00 AM,Cancer Research,BxPC-3,Pancreatic Cancer Cells,Human,96,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
Increased Serotonin Signaling Contributes to the Warburg Effect in Pancreatic Tumor Cells Under Metabolic Stress and Promotes Growth of Pancreatic Tumors in Mice,"S. H. Jiang, J. Li, F. Y. Dong, J. Y. Yang, D. J. Liu, X. M. Yang, Y. H. Wang, M. W. Yang, X. L. Fu, X. X. Zhang, Q. Li, X. F. Pang, Y. M. Huo, J. Li, J. F. Zhang, H. Y. Lee, S. J. Lee, W. X. Qin, J. R. Gu, Y. W. Sun and Z. G. Zhang",Gastroenterology,Jul 1 2017 12:00 AM,Neurobiology Research,PANC-1,Pancreatic cells,Human,96,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
Increased Serotonin Signaling Contributes to the Warburg Effect in Pancreatic Tumor Cells Under Metabolic Stress and Promotes Growth of Pancreatic Tumors in Mice,"S. H. Jiang, J. Li, F. Y. Dong, J. Y. Yang, D. J. Liu, X. M. Yang, Y. H. Wang, M. W. Yang, X. L. Fu, X. X. Zhang, Q. Li, X. F. Pang, Y. M. Huo, J. Li, J. F. Zhang, H. Y. Lee, S. J. Lee, W. X. Qin, J. R. Gu, Y. W. Sun and Z. G. Zhang",Gastroenterology,Jul 1 2017 12:00 AM,Cancer Research,BxPC-3,Pancreatic Cancer Cells,Human,96,Cell Mitochondrial Stress Test,,1.0 x10^4 cells/well,Not Specified
Increased Serotonin Signaling Contributes to the Warburg Effect in Pancreatic Tumor Cells Under Metabolic Stress and Promotes Growth of Pancreatic Tumors in Mice,"S. H. Jiang, J. Li, F. Y. Dong, J. Y. Yang, D. J. Liu, X. M. Yang, Y. H. Wang, M. W. Yang, X. L. Fu, X. X. Zhang, Q. Li, X. F. Pang, Y. M. Huo, J. Li, J. F. Zhang, H. Y. Lee, S. J. Lee, W. X. Qin, J. R. Gu, Y. W. Sun and Z. G. Zhang",Gastroenterology,Jul 1 2017 12:00 AM,Neurobiology Research,PANC-1,Pancreatic cells,Human,96,Cell Mitochondrial Stress Test,,1.0 x10^4 cells/well,Not Specified
Increased susceptibility to ethylmercury-induced mitochondrial dysfunction in a subset of autism lymphoblastoid cell lines,"Rose S, Wynne R, Frye RE, Melnyk S, James SJ",J Toxicol,Jan 1 2015 12:00 AM,Translational Research,Lymphoblastoids,Immune Cells,Human,96,Cell Mitochondrial Stress Test,,1.1 x10^5 cells/well,poly-D-lysine
Increased thermogenesis by a noncanonical pathway in ANGPTL3/8-deficient mice,"S. Banfi, V. Gusarova, J. Gromada, J. C. Cohen and H. H. Hobbs",Proc Natl Acad Sci U S A,Feb 6 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",White Adipose Tissue,Adipose Tissue,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Cancer Research,Melanocytes,Melanoma cell,Human,96,Cell Energy Phenotype Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Immunology Research,Melanocytes,Melanoma cell,Human,96,Cell Energy Phenotype Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Drug Discovery,Melanocytes,Melanoma cell,Human,96,Cell Energy Phenotype Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Cancer Research,Melanocytes,Melanoma cell,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Immunology Research,Melanocytes,Melanoma cell,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Drug Discovery,Melanocytes,Melanoma cell,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Cancer Research,Melanocytes,Melanoma cell,Human,96,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Immunology Research,Melanocytes,Melanoma cell,Human,96,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Increased Tumor Glycolysis Characterizes Immune Resistance to Adoptive T Cell Therapy,"T. Cascone, J. A. McKenzie, R. M. Mbofung, S. Punt, Z. Wang, C. Xu, L. J. Williams, Z. Wang, C. A. Bristow, A. Carugo, M. D. Peoples, L. Li, T. Karpinets, L. Huang, S. Malu, C. Creasy, S. E. Leahey, J. Chen, Y. Chen, H. Pelicano, C. Bernatchez, Y. N. V. G",Cell Metab,May 1 2018 12:00 AM,Drug Discovery,Melanocytes,Melanoma cell,Human,96,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Increasing oxygen availability for improving poly(3-hydroxybutyrate) production by Halomonas,"Ouyang P, Wang H, Hajnal I, Wu Q, Guo YChen GQ",Metab Eng,Nov 16 2017 12:00 AM,Cell Metabolism in Technology,H. bluephagenesis,Halomonas,Bacteria,96,Basal Metabolic Assay,,Not Specified,Not Specified
Increasing tetrahydrobiopterin in cardiomyocytes adversely affects cardiac redox state and mitochondrial function independently of changes in NO production,"Sethumadhavan S, Whitsett J, Bennett B, Ionova IA, Pieper GM, Vasquez-Vivar J",Free Radic Biol Med,Apr 1 2016 12:00 AM,Cardiovascular Research,Isolated mitochondria,Isolated mitochondria,Mouse,96,Mitochondrial Respiratory Complex Assay,,3 ug/well,Not Specified
Increasing the level of peroxisome proliferator-activated receptor gamma coactivator-1_ in podocytes results in collapsing glomerulopathy,"Li SY, Park J, Qiu C, Han SH, Palmer MB, Arany ZSusztak K",JCI Insight,Jul 20 2017 12:00 AM,Nephrology Research,Podocytes,Podocytes,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Increasing the level of peroxisome proliferator-activated receptor gamma coactivator-1_ in podocytes results in collapsing glomerulopathy,"Li SY, Park J, Qiu C, Han SH, Palmer MB, Arany ZSusztak K",JCI Insight,Jul 20 2017 12:00 AM,Mitochondrial Disease Research,Podocytes,Podocytes,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Increasing the level of peroxisome proliferator-activated receptor gamma coactivator-1_ in podocytes results in collapsing glomerulopathy,"Li SY, Park J, Qiu C, Han SH, Palmer MB, Arany ZSusztak K",JCI Insight,Jul 20 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Podocytes,Podocytes,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Increasing the level of peroxisome proliferator-activated receptor gamma coactivator-1_ in podocytes results in collapsing glomerulopathy,"Li SY, Park J, Qiu C, Han SH, Palmer MB, Arany ZSusztak K",JCI Insight,Jul 20 2017 12:00 AM,Nephrology Research,Podocytes,Podocytes,Mouse,24,Other,,2.0 x10^4 cells/well,Not Specified
Increasing the level of peroxisome proliferator-activated receptor gamma coactivator-1_ in podocytes results in collapsing glomerulopathy,"Li SY, Park J, Qiu C, Han SH, Palmer MB, Arany ZSusztak K",JCI Insight,Jul 20 2017 12:00 AM,Mitochondrial Disease Research,Podocytes,Podocytes,Mouse,24,Other,,2.0 x10^4 cells/well,Not Specified
Increasing the level of peroxisome proliferator-activated receptor gamma coactivator-1_ in podocytes results in collapsing glomerulopathy,"Li SY, Park J, Qiu C, Han SH, Palmer MB, Arany ZSusztak K",JCI Insight,Jul 20 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Podocytes,Podocytes,Mouse,24,Other,,2.0 x10^4 cells/well,Not Specified
Individual-specific Variation in the Respiratory Activities of HMECs and Their Bioenergetic Response to IGF1 and TNF_,"Schneider SS, Henchey EM, Sultana N, Morin SM, Jerry DJ, Makari-Judson G, Crisi GM, Arenas RB, Johnson M, Mason HSYadava N",J Cell Physiol,Mar 28 2017 12:00 AM,Cancer Research,HMEC,Breast Cells,Human,24,Cell Mitochondrial Stress Test,,4.0 x10^4 cells/well,Not Specified
Induced Pluripotent Stem Cells with a Pathological Mitochondrial DNA Deletion,"Cherry AB, Gagne KE, McLoughlin EM, Baccei A, Gorman B, Hartung O, Miller JD, Zhang J, Zon RL, Ince TA, Neufeld EJ, Lerou PH, Fleming MD, Daley GQ, Agarwal S.",Stem Cells,Jul 1 2013 12:00 AM,Translational Research,iPSC,Stem cells,Human,24,Cell Mitochondrial Stress Test,,5.0x10^4 cells/well,Matrigel
Induced Pluripotent Stem Cells with a Pathological Mitochondrial DNA Deletion,"Cherry AB, Gagne KE, McLoughlin EM, Baccei A, Gorman B, Hartung O, Miller JD, Zhang J, Zon RL, Ince TA, Neufeld EJ, Lerou PH, Fleming MD, Daley GQ, Agarwal S.",Stem Cells,Jul 1 2013 12:00 AM,Translational Research,iPSC,Stem cells,Human,24,Cell Mitochondrial Stress Test,,5.0x10^4 cells/well,Matrigel
Induction of a Senescence-Like Phenotype in Cultured Human Fetal Microglia During HIV-1 Infection,"N. C. Chen, A. T. Partridge, F. Tuzer, J. Cohen, T. Nacarelli, S. Navas-Martin, C. Sell, C. Torres and J. Martin-Garcia",J Gerontol A Biol Sci Med Sci,Feb 5 2018 12:00 AM,Infectious Disease Research,Glial cells,Glial cells,Human,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Induction of a Senescence-Like Phenotype in Cultured Human Fetal Microglia During HIV-1 Infection,"N. C. Chen, A. T. Partridge, F. Tuzer, J. Cohen, T. Nacarelli, S. Navas-Martin, C. Sell, C. Torres and J. Martin-Garcia",J Gerontol A Biol Sci Med Sci,Feb 5 2018 12:00 AM,Neurobiology Research,Glial cells,Glial cells,Human,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Induction of mitochondrial dysfunction as a strategy for targeting tumour cells in metabolically compromised microenvironments,"Zhang X, Frykn�s M, Hernlund E, Fayad W, De Milito A, Olofsson MH, Gogvadze V, Dang L, P�hlman S, Schughart LA, Rickardson L, DArcy P, Gullbo J, Nygren P, Larsson R, Linder S.",Nat Commun,Feb 1 2014 12:00 AM,Cardiovascular Research,Isolated mitochondria,Isolated mitochondria,Mouse,24,Cell Mitochondrial Stress Test with additional injection,,4 ug/well,Not Specified
Induction of mitochondrial dysfunction as a strategy for targeting tumour cells in metabolically compromised microenvironments,"Zhang X, Frykn�s M, Hernlund E, Fayad W, De Milito A, Olofsson MH, Gogvadze V, Dang L, P�hlman S, Schughart LA, Rickardson L, DArcy P, Gullbo J, Nygren P, Larsson R, Linder S.",Nat Commun,Feb 1 2014 12:00 AM,Cardiovascular Research,Isolated mitochondria,Isolated mitochondria,Mouse,24,Cell Mitochondrial Stress Test with additional injection,,4 ug/well,Not Specified
Induction of oxidative metabolism by the p38_/MK2 pathway,"Trempolec N, Munoz JP, Slobodnyuk K, Marin S, Cascante M, Zorzano ANebreda AR",Sci Rep,Sep 12 2017 12:00 AM,Immunology Research,U2OS,Osteosarcoma cells,Human,Not Specified,Cell Mitochondrial Stress Test,,4.0 x10^4 cells/well,Not Specified
Induction of oxidative metabolism by the p38_/MK2 pathway,"Trempolec N, Munoz JP, Slobodnyuk K, Marin S, Cascante M, Zorzano ANebreda AR",Sci Rep,Sep 12 2017 12:00 AM,Cell Physiology Research,U2OS,Osteosarcoma cells,Human,Not Specified,Cell Mitochondrial Stress Test,,4.0 x10^4 cells/well,Not Specified
Induction of Posttranslational Modifications of Mitochondrial Proteins by ATP Contributes to Negative Regulation of Mitochondrial Function,"Zhang Y, Zhao Z, Ke B, Wan L, Wang H, Ye J",PLoS One,Mar 1 2016 12:00 AM,Cell Physiology Research,Isolated mitochondria,Isolated mitochondria,Mouse,24,Fatty Acid Oxidation,,Not Specified,Not Specified
Induction of synthetic lethality in IDH1-mutated gliomas through inhibition of Bcl-xL,"G. Karpel-Massler, C. T. Ishida, E. Bianchetti, Y. Zhang, C. Shu, T. Tsujiuchi, M. A. Banu, F. Garcia, K. A. Roth, J. N. Bruce, P. Canoll and M. D. Siegelin",Nat Commun,Oct 20 2017 12:00 AM,Drug Discovery,HCT116 IDH1,Colon Cancer Cells,Human,Xfp,Basal Metabolic Assay,,Not Specified,Not Specified
Induction of synthetic lethality in IDH1-mutated gliomas through inhibition of Bcl-xL,"G. Karpel-Massler, C. T. Ishida, E. Bianchetti, Y. Zhang, C. Shu, T. Tsujiuchi, M. A. Banu, F. Garcia, K. A. Roth, J. N. Bruce, P. Canoll and M. D. Siegelin",Nat Commun,Oct 20 2017 12:00 AM,Cancer Research,HCT116 IDH1,Colon Cancer Cells,Human,Xfp,Basal Metabolic Assay,,Not Specified,Not Specified
Induction of synthetic lethality in IDH1-mutated gliomas through inhibition of Bcl-xL,"G. Karpel-Massler, C. T. Ishida, E. Bianchetti, Y. Zhang, C. Shu, T. Tsujiuchi, M. A. Banu, F. Garcia, K. A. Roth, J. N. Bruce, P. Canoll and M. D. Siegelin",Nat Commun,Oct 20 2017 12:00 AM,Modulation,HCT116 IDH1,Colon Cancer Cells,Human,Xfp,Basal Metabolic Assay,,Not Specified,Not Specified
Inefficient DNA Repair Is an Aging-Related Modifier of Parkinsons Disease,"Sepe S, Milanese C, Gabriels S, Derks KW, Payan-Gomez C, van IJcken WF, Rijksen YM, Nigg AL, Moreno S, Cerri S, Blandini F, Hoeijmakers JH, Mastroberardino PG",Cell Rep,May 1 2016 12:00 AM,Neurobiology Research,Isolated mitochondria,Isolated mitochondria,Mouse,24,Mitochondrial Respiratory Complex Assay,,10 ug/well,Not Specified
Inflammation stimulates hypoxia-inducible factor-1_ regulatory activity in 3T3-L1 adipocytes with conditioned medium from lipopolysaccharide-activated RAW 264.7 macrophages,"A. Lopez-Pascual, S. Lorente-Cebrian, M. J. Moreno-Aliaga, J. A. Martinez and P. Gonzalez-Muniesa",J Cell Physiol,Apr 27 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Adipocytes,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Inflammation stimulates hypoxia-inducible factor-1_ regulatory activity in 3T3-L1 adipocytes with conditioned medium from lipopolysaccharide-activated RAW 264.7 macrophages,"A. Lopez-Pascual, S. Lorente-Cebrian, M. J. Moreno-Aliaga, J. A. Martinez and P. Gonzalez-Muniesa",J Cell Physiol,Apr 27 2018 12:00 AM,Immunology Research,3T3-L1,Adipocytes,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Immunology Research,Microglia,Neuronal cells,Mouse,24,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Cell Physiology Research,Microglia,Neuronal cells,Mouse,24,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Immunology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Cell Physiology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Immunology Research,Microglia,Neuronal cells,Mouse,24,Glycolysis Stress Test,,1.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Cell Physiology Research,Microglia,Neuronal cells,Mouse,24,Glycolysis Stress Test,,1.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Immunology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,24,Glycolysis Stress Test,,2.0 x10^5 cells/well,Not Specified
Inflammatory microglia are glycolytic and iron retentive and typify the microglia in APP/PS1 mice,"Holland R, McIntosh AL, Finucane OM, Mela V, Rubio-Araiz A, Timmons G, McCarthy SA, Gun'ko YKLynch MA",Brain Behav Immun,Oct 20 2017 12:00 AM,Cell Physiology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,24,Glycolysis Stress Test,,2.0 x10^5 cells/well,Not Specified
Inflammatory response of microglial BV-2 cells includes a glycolytic shift and is modulated by mitochondrial glucose-regulated protein 75/mortalin,"Voloboueva LA, Emery JF, Sun X, Giffard RG.",FEBS Lett,Mar 1 2013 12:00 AM,Neurobiology Research,BV-2,Neuronal Cells,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Inflammatory response of microglial BV-2 cells includes a glycolytic shift and is modulated by mitochondrial glucose-regulated protein 75/mortalin,"Voloboueva LA, Emery JF, Sun X, Giffard RG.",FEBS Lett,Mar 1 2013 12:00 AM,Neurobiology Research,BV-2,Neuronal Cells,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Inflexibility of AMPK-mediated metabolic reprogramming in mitochondrial disease,"Lin D-S, Kao S-H, Ho C-S, Wei Y-H, Hung P-L, Hsu M-H, Wu T-Y, Wang T-J, Jian Y-R, Lee T-HChiang M-F",Oncotarget,Sep 5 2017 12:00 AM,Mitochondrial Disease Research,Dermal Fibroblasts,Fibroblasts,Human,24,Cell Mitochondrial Stress Test,,2.7 x10^4 cells/well,Not Specified
"Influence of Biotechnological Processes, Speed of Formulation Flow and Cellular Concurrent Stream-Integration on Insulin Production from _-cells as a Result of Co-Encapsulation with a Highly Lipophilic Bile Acid","Mooranian A, Negrulj R, Takechi R, Jamieson E, Morahan GAl-Salami H",Cellular and Molecular Bioengineering,Oct 4 2017 12:00 AM,Techniques & Methods,NIT-1 cells,Pancreatic Cells,Mouse,Not Specified,Basal Metabolic Assay,,Not Specified,Not Specified
"Influence of Biotechnological Processes, Speed of Formulation Flow and Cellular Concurrent Stream-Integration on Insulin Production from _-cells as a Result of Co-Encapsulation with a Highly Lipophilic Bile Acid","Mooranian A, Negrulj R, Takechi R, Jamieson E, Morahan GAl-Salami H",Cellular and Molecular Bioengineering,Oct 4 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",NIT-1 cells,Pancreatic Cells,Mouse,Not Specified,Basal Metabolic Assay,,Not Specified,Not Specified
Influence of phosphatidylserine and phosphatidylethanolamine on farnesol tolerance in Candida albicans,"Hasim S, Vaughn EN, Donohoe D, Gordon DM, Pfiffner SReynolds TB",Yeast,Nov 16 2017 12:00 AM,Infectious Disease Research,C. albicans,C. albicans,Yeast,24,Other,,Not Specified,Poly-D-lysine
Influence of phosphatidylserine and phosphatidylethanolamine on farnesol tolerance in Candida albicans,"Hasim S, Vaughn EN, Donohoe D, Gordon DM, Pfiffner SReynolds TB",Yeast,Nov 16 2017 12:00 AM,Toxicology Research,C. albicans,C. albicans,Yeast,24,Other,,Not Specified,Poly-D-lysine
Influence of phosphatidylserine and phosphatidylethanolamine on farnesol tolerance in Candida albicans,"Hasim S, Vaughn EN, Donohoe D, Gordon DM, Pfiffner SReynolds TB",Yeast,Nov 16 2017 12:00 AM,Immunology Research,C. albicans,C. albicans,Yeast,24,Other,,Not Specified,Poly-D-lysine
Influence of Pulsed Electric Fields and Mitochondria-Cytoskeleton Interactions on Cell Respiration,"I. Goswami, J. B. Perry, M. E. Allen, D. A. Brown, M. R. von Spakovsky and S. S. Verbridge",Biophys J,Jun 19 2018 12:00 AM,Techniques & Methods,4T1,Breast Cancer Cells,Mouse,24,Cell Mitochondrial Stress Test,,4.0 x10^4 cells/well,Not Specified
Influence of Pulsed Electric Fields and Mitochondria-Cytoskeleton Interactions on Cell Respiration,"I. Goswami, J. B. Perry, M. E. Allen, D. A. Brown, M. R. von Spakovsky and S. S. Verbridge",Biophys J,Jun 19 2018 12:00 AM,Cell Physiology Research,4T1,Breast Cancer Cells,Mouse,24,Cell Mitochondrial Stress Test,,4.0 x10^4 cells/well,Not Specified
