State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
GEORGIA,DEKALB,2017-2,BARRIE,"JAMES, JR.",RACKETEERING,WC,D,10/20/2016,30,3,120,INSTALLED AND USED,120,154,526,"18,481","2,208","197,602","10,280",20,,,,5,,,
GEORGIA,DEKALB,2017-3,JOHNSON,BOSTON,NARCOTICS,WC,D,03/15/2017,30,1,60,INSTALLED AND USED,59,403,281,"23,790",826,"27,901","3,701",4,,,,3,1,,
GEORGIA,DOUGLAS,2017-1,EMERSON,FORTNER,RACKETEERING,"WC,TX",D,03/08/2017,30,0,30,INSTALLED AND USED,20,154,95,"3,090",92,"44,419","12,500",26,,,,,4,,
GEORGIA,DOUGLAS,2017-2,EMERSON,LEONARD,RACKETEERING,"WC,TX",D,03/24/2017,30,0,30,INSTALLED AND USED,28,184,192,"5,179",446,"44,418","12,500",26,,,,,4,,
GEORGIA,DOUGLAS,2017-3,EMERSON,LEONARD,RACKETEERING,"WC,TX",D,03/06/2017,0,0,0,NEVER INSTALLED,,,,,,,,,,,,,,,
GEORGIA,FLOYD,2017-1,"DURHAM, JR.",PATTERSON,BRIBERY,"WC,TX",D,02/06/2017,30,2,90,INSTALLED AND USED,37,201,"1,178","7,454","1,445","53,820","3,820",6,0,,,2,0,,
GEORGIA,GWINNETT,2016-1,BATCHELOR,PORTER,DRUGS - ILLEGAL,"WC,TX",D,11/12/2015,29,2,84,INSTALLED AND USED,84,681,"1,138","57,219","9,388","262,843","132,589",21,0,,,6,1,,
GEORGIA,GWINNETT,2016-2,CONNER,PORTER,DRUGS - ILLEGAL,"WC,TX",D,12/16/2015,29,1,59,INSTALLED AND USED,59,154,165,"9,101","1,137","161,590","10,677",4,0,0,0,0,0,,
GEORGIA,GWINNETT,2016-3,"HUTCHINSON, III",PORTER,MURDER,"WC,TX",D,01/26/2016,21,0,21,INSTALLED AND USED,21,1561,545,"32,801","3,089","28,781","19,118",3,0,0,0,0,0,,
GEORGIA,GWINNETT,2016-4,SCHRADER,PORTER,DRUGS - ILLEGAL,"WC,TX",D,06/27/2016,10,0,10,INSTALLED AND USED,10,,,,,"262,843","132,589",0,0,0,0,0,0,,
GEORGIA,GWINNETT,2016-5,RICH,PORTER,DRUGS - ILLEGAL,"WC,TX",D,08/17/2016,30,2,90,INSTALLED AND USED,90,366,463,"32,976","8,791","1,063,214","77,075",27,0,0,0,0,0,,
GEORGIA,GWINNETT,2016-6,BATCHELOR,PORTER,DRUGS - ILLEGAL,"WC,TX",D,09/27/2016,30,2,90,INSTALLED AND USED,88,231,,"20,389","3,032","158,130","16,685",3,0,0,0,0,0,,
GEORGIA,GWINNETT,2017-7,TURNER,PORTER,DRUGS - ILLEGAL,WC,D,09/27/2016,30,5,180,INSTALLED AND USED,180,550,,"99,113","23,775","1,592,987","108,825",0,0,0,0,0,0,,
GEORGIA,GWINNETT,2017-8,CONNER,PORTER,DRUGS - ILLEGAL,WC,D,11/08/2016,30,6,200,INSTALLED AND USED,200,325,"1,507","65,123","8,987","755,366","71,974",26,0,0,0,2,1,,
GEORGIA,GWINNETT,2017-9,"HUTCHINSON, III",PORTER,NARCOTICS,WC,D,05/05/2017,30,1,43,INSTALLED AND USED,43,417,424,"17,969","2,920","302,831","143,254",4,0,0,0,0,1,,
GEORGIA,GWINNETT,2017-10,DAVIS,PORTER,DRUGS - ILLEGAL,WC,D,02/14/2017,30,4,150,INSTALLED AND USED,150,225,"1,149","33,799","4,208","925,508","76,510",7,0,0,0,0,0,,
GEORGIA,GWINNETT,2017-11,DAVIS,PORTER,DRUGS - ILLEGAL,WC,D,02/23/2017,30,8,260,INSTALLED AND USED,260,77,"1,350","20,220","6,362","1,810,658","156,000",28,0,0,0,2,1,,
GEORGIA,GWINNETT,2017-12,SCHRADER,PORTER,DRUGS - ILLEGAL,WC,D,09/01/2017,30,3,120,INSTALLED AND USED,120,90,,"10,870","1,720","335,353","24,585",7,0,0,0,4,0,,
GEORGIA,HOUSTON,2017-1,ADAMS,"HARTWIG, III",RACKETEERING,"WC,TX",D,11/17/2017,30,0,30,INSTALLED AND USED,30,212,,"6,374","3,120",,,,,,,,,,
GEORGIA,HOUSTON,2017-2,ADAMS,"HARTWIG, III",RACKETEERING,"WC,TX",D,11/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
GEORGIA,Whitfield,2017-1,MORRIS,POSTON,DRUGS - ILLEGAL,WC,D,01/05/2017,30,2,90,INSTALLED AND USED,42,,,,,,,10,0,,,,3,,
GEORGIA,Whitfield,2017-2,MORRIS,POSTON,DRUGS - ILLEGAL,"WC,TX",D,02/22/2017,30,2,90,INSTALLED AND USED,30,,,,,,,8,0,,,,2,,
GEORGIA,Whitfield,2017-3,MORRIS,POSTON,DRUGS - ILLEGAL,"WC,TX",D,02/08/2017,30,2,90,INSTALLED AND USED,86,,,,,,,17,0,,,,7,,
HAWAII,MAUI,2017-1,CARDOZA,KIM,DRUGS - ILLEGAL,"WC,TX",D,07/13/2017,30,1,60,INSTALLED AND USED,59,18,127,"1,091",85,"176,000","26,000",0,0,0,0,0,0,,
HAWAII,MAUI,2017-2,CARDOZA,KIM,DRUGS - ILLEGAL,"WC,TX",D,08/12/2017,30,0,30,INSTALLED AND USED,30,13,50,392,47,"176,000","26,000",0,0,0,0,0,0,,
IDAHO,Bonneville,2017-1,PICKETT,CLARK,MURDER,"WC,WS,TX","D,H",07/07/2017,7,1,14,INSTALLED AND USED,14,91,52,"1,281",,,,,,,,,,,
IDAHO,Bonneville,2017-2,PICKETT,CLARK,MURDER,WC,"D,H",07/07/2017,7,1,14,INSTALLED AND USED,14,91,,"1,281",,"17,000","2,000",9,,,,,,,
ILLINOIS,Alexander,2017-1,CLARKE,GOWIN,ARSON,OM,H,11/15/2017,30,0,30,NEVER INSTALLED,,,,,,,,,,,,,,,
ILLINOIS,Alexander,2017-2,CLARKE,GOWIN,ARSON,OM,H,11/15/2017,30,0,30,NEVER INSTALLED,,,,,,,,,,,,,,,
ILLINOIS,CHRISTIAN,2016-2,PAISLEY,HAVERA,DRUGS - ILLEGAL,-99,"D,H",05/10/2016,30,0,30,INSTALLED AND USED,1,1,1,1,1,,,1,15,,,,1,,
ILLINOIS,CHRISTIAN,2016-3,PAISLEY,HAVERA,DRUGS - ILLEGAL,-99,"D,H",09/20/2016,30,0,30,INSTALLED AND USED,1,1,1,1,1,,,1,15,,,,1,,
ILLINOIS,CHRISTIAN,2016-4,LOLIE,HAVERA,DRUGS - ILLEGAL,-99,"D,H",05/10/2016,30,0,30,INSTALLED AND USED,,,,,,,,,,,,,,,
ILLINOIS,CHRISTIAN,2017-1,HARTIGAN,HAVERA,DRUGS - ILLEGAL,-99,"D,H",07/14/2016,30,0,30,INSTALLED AND USED,1,1,1,1,1,,,1,8,,,,1,,
ILLINOIS,COOK,2015-2,BIEBEL,WALKER,NARCOTICS,"WC,TX",D,12/22/2014,30,0,30,INSTALLED AND USED,17,20,41,345,115,"124,100","2,600",3,,,,,,,
ILLINOIS,COOK,2015-3,BIEBEL,WALKER,NARCOTICS,"WC,TX",D,12/22/2014,30,0,30,INSTALLED AND USED,27,59,57,"1,612",656,"124,100","2,600",3,,,,,,,
ILLINOIS,COOK,2015-4,MARTIN,ALVAREZ,CONSPIRACY,WC,D,10/23/2015,30,0,30,INSTALLED AND USED,30,53,,"1,617",608,,,3,,,,,,,
ILLINOIS,COOK,2015-5,MARTIN,ALVAREZ,CONSPIRACY,WC,D,11/20/2015,30,0,30,INSTALLED AND USED,12,107,,"1,293",251,"124,100","2,600",3,,,,,,RELATED TO NO. 2015-29,
ILLINOIS,COOK,2015-6,MARTIN,ALVAREZ,CONSPIRACY,WC,D,11/20/2015,30,0,30,INSTALLED AND USED,30,94,,"2,838","1,143","124,100","2,600",3,,,,,,RELATED TO NO. 2015-29,
ILLINOIS,COOK,2015-7,MARTIN,ALVAREZ,CONSPIRACY,WC,D,11/20/2015,30,0,30,INSTALLED AND USED,30,10,10,309,136,"124,100","2,600",3,,,,,,,
ILLINOIS,COOK,2015-8,MARTIN,ALVAREZ,CONSPIRACY,WC,D,11/20/2015,30,0,30,INSTALLED AND USED,30,44,25,"1,334",346,"124,100","2,600",3,,,,,,RELATED TO NO. 2015-7,RELATED TO NO. 2015-7
ILLINOIS,COOK,2015-29,MARTIN,ALVAREZ,CONSPIRACY,WC,D,11/05/2015,30,0,30,INSTALLED AND USED,,,,,,,,3,,,,,,,
ILLINOIS,COOK,2016-8,MARTIN,VOJTA,NARCOTICS,WC,D,12/22/2015,30,0,30,INSTALLED AND USED,30,13,20,412,159,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2016-9,MARTIN,VOJTA,NARCOTICS,WC,D,12/22/2015,30,0,30,INSTALLED AND USED,30,44,30,"1,342",321,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2016-10,MARTIN,BOND,OTHER,"WC,TX",D,01/06/2016,30,1,60,INSTALLED AND USED,30,79,70,"2,396",508,,,3,,,,,,,
ILLINOIS,COOK,2016-11,MARTIN,BOND,OTHER,"WC,TX",D,02/19/2016,30,0,30,INSTALLED AND USED,15,129,36,"1,948",307,,,3,,,,,,,
ILLINOIS,COOK,2017-12,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,03/07/2017,30,0,30,INSTALLED AND USED,24,122,115,"2,929",603,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-13,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,03/29/2017,30,0,30,INSTALLED AND USED,30,129,152,"3,893",662,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-14,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,04/26/2017,30,0,30,INSTALLED AND USED,30,142,138,"4,264","1,086","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-15,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,04/26/2017,30,0,30,INSTALLED AND USED,30,226,241,"6,800","1,177","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-16,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,05/25/2017,30,0,30,INSTALLED AND USED,30,263,220,"7,895",876,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-17,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,05/25/2017,30,0,30,INSTALLED AND USED,30,150,126,"4,518",720,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-18,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,06/23/2017,30,0,30,INSTALLED AND USED,30,161,114,"4,854",83,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-19,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,07/24/2017,30,0,30,INSTALLED AND USED,29,31,37,899,1,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-20,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,07/18/2017,30,0,30,INSTALLED AND USED,30,372,53,"11,160","2,959","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-21,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,08/16/2017,30,0,30,INSTALLED AND USED,30,632,55,"18,970","3,922","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-22,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,09/14/2017,30,0,30,INSTALLED AND USED,29,876,47,"25,430","3,104","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-23,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,10/05/2017,30,0,30,INSTALLED AND USED,27,186,20,"5,024",243,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-24,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,10/12/2017,30,0,30,INSTALLED AND USED,28,824,33,"23,075","1,486","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-25,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,10/31/2017,30,0,30,INSTALLED AND USED,29,196,14,"5,707",272,"433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-26,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,11/08/2017,30,0,30,INSTALLED AND USED,29,814,58,"23,623","1,863","433,891","120,399",10,,,,,10,,
ILLINOIS,COOK,2017-27,MARTIN,FOXX,CONSPIRACY,"WC,TX",D,11/30/2017,30,0,30,INSTALLED AND USED,30,226,15,"6,798",292,"433,891","120,399",10,,,,,10,,
ILLINOIS,Jefferson,2017-1,CRISEL,KOZUSZEH,MURDER,-99,H,10/11/2017,30,0,30,INSTALLED AND USED,1,0,,0,,200,50,0,,,,,0,,
ILLINOIS,Jefferson,2017-2,CRISEL,KOZUSZEH,MURDER,-99,H,10/11/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ILLINOIS,Jefferson,2017-3,CRISEL,FEATHERSTUN,MURDER,WC,D,01/22/2017,7,0,7,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ILLINOIS,Jefferson,2017-4,CRISEL,FEATHERSTUN,MURDER,WC,D,01/22/2017,7,0,7,INSTALLED AND USED,1,1,1,1,,,,0,,,,,0,,
ILLINOIS,Jefferson,2017-5,CRISEL,KOZUSZEH,DRUGS - ILLEGAL,WO,H,10/11/2017,30,0,30,INSTALLED AND USED,1,1,1,1,1,250,100,1,,,,,,,
ILLINOIS,KNOX,2017-1,"VANCIL, JR.",DOYLE,DRUGS - ILLEGAL,WC,"D,H,B,A",03/16/2017,30,0,30,INSTALLED AND USED,30,,,,,,,1,1,,,,1,,
ILLINOIS,WHITE,2017-1,STANLEY,AUD,MURDER,OM,O,08/23/2017,29,0,29,INSTALLED AND USED,1,1,1,1,1,,,1,,,,1,,,
ILLINOIS,WINNEBAGO,2017-1,MCGRAW,BRUN,NARCOTICS,WC,D,02/14/2017,30,0,30,INSTALLED AND USED,1,,,,,"2,400",0,,,,,,,,
ILLINOIS,WINNEBAGO,2017-2,MCGRAW,BRUN,$LAUNDERING,WC,D,02/13/2017,30,0,30,INSTALLED AND USED,30,44,27,"1,335",385,"45,450",650,,,,,,,,
ILLINOIS,WINNEBAGO,2017-3,MCGRAW,BRUN,NARCOTICS,WC,D,02/14/2017,30,0,30,INSTALLED AND USED,30,44,27,"1,335",385,"45,450",650,,,,,,,,
ILLINOIS,WINNEBAGO,2017-4,MCGRAW,BRUN,$LAUNDERING,WC,D,02/08/2017,30,0,30,INSTALLED AND USED,30,44,27,"1,335",385,"45,450",650,,,,,,,,
ILLINOIS,WINNEBAGO,2017-5,MCGRAW,BRUN,$LAUNDERING,WC,D,02/21/2017,30,0,30,INSTALLED AND USED,30,44,27,"1,335",385,"2,400",0,,,,,,,,
INDIANA,ELKHART,2017-1,CHRISTOFENO,BECKER,DRUGS - ILLEGAL,"WC,TX",D,10/20/2017,30,0,30,INSTALLED AND USED,7,38,34,268,86,,,1,0,0,0,0,0,,
INDIANA,Grant County,2017-1,KENWORTHY,"LUTTRULL, JR.",DRUGS - ILLEGAL,"WC,TX",D,10/04/2017,30,0,30,INSTALLED AND USED,30,69,98,"2,093",686,,,30,0,0,0,0,0,,
INDIANA,Grant County,2017-2,KENWORTHY,"LUTTRULL, JR.",DRUGS - ILLEGAL,"WC,TX",D,10/25/2017,30,0,30,INSTALLED AND USED,23,83,76,"1,929",356,,,30,0,0,0,0,0,,
INDIANA,Greene,2016-1,MARTIN,HOLTSCLAW,NARCOTICS,"WC,TX",D,11/28/2016,30,0,30,INSTALLED AND USED,8,22,28,176,47,,,10,0,0,0,0,9,,
INDIANA,Greene,2016-2,MARTIN,HOLTSCLAW,NARCOTICS,"WC,TX",D,12/05/2016,30,0,30,INSTALLED AND USED,9,40,38,368,68,,,,,,,,,,
INDIANA,Greene,2017-3,MARTIN,HOLTSCLAW,NARCOTICS,"WC,TX",D,01/04/2017,30,0,30,INSTALLED AND USED,17,78,80,"1,326",486,,,,,,,,,,
INDIANA,MARION,2017-1,FLOWERS,CURRY,NARCOTICS,"WC,TX",D,08/22/2017,30,0,30,INSTALLED AND USED,20,176,143,"3,527","1,826","44,000","29,000",8,0,,,,,,
INDIANA,MARION,2017-2,FLOWERS,CURRY,NARCOTICS,"WC,TX",D,08/22/2017,30,0,30,INSTALLED AND USED,23,123,66,"2,832",941,"44,000","29,000",8,0,,,,,,
INDIANA,MARION,2017-3,FLOWERS,CURRY,NARCOTICS,"WC,TX",D,09/20/2017,30,0,30,INSTALLED AND USED,3,61,18,184,56,"44,000","29,000",8,0,,,,,,
KANSAS,Statewide Court of Appeals,2017-1,HILL,"DUPREE, SR.",RACKETEERING,WC,D,08/23/2017,30,0,30,INSTALLED AND USED,29,43,122,"1,269",186,"27,266",625,,,,,,,,
LOUISIANA,24TH JUDICIAL DISTRICT (JEFFERSON),2017-1,GREFER,"CONNICK, JR.",OTHER,WC,D,09/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
LOUISIANA,24TH JUDICIAL DISTRICT (JEFFERSON),2017-2,GREFER,"CONNICK, JR.",OTHER,WC,D,09/19/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
LOUISIANA,24TH JUDICIAL DISTRICT (JEFFERSON),2017-3,GREFER,"CONNICK, JR.",OTHER,WC,D,06/06/2017,30,0,30,INSTALLED AND USED,26,5,,146,99,"24,481","2,275",,,,,,,,
LOUISIANA,24TH JUDICIAL DISTRICT (JEFFERSON),2017-4,REGAN,"CONNICK, JR.",OTHER,WC,D,11/27/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
LOUISIANA,32ND JUDICIAL DISTRICT (TERREBONNE),2017-1,PICKETT,DAGATE,DRUGS - ILLEGAL,"WC,TX",D,08/21/2017,30,0,30,INSTALLED AND USED,30,96,,"2,902",892,,,8,,,,,,,
LOUISIANA,32ND JUDICIAL DISTRICT (TERREBONNE),2017-2,PICKETT,DAGATE,DRUGS - ILLEGAL,"WC,TX",D,08/21/2017,30,0,30,INSTALLED AND USED,13,30,,392,144,,,8,,,,,,,
LOUISIANA,32ND JUDICIAL DISTRICT (TERREBONNE),2017-3,PICKETT,DAGATE,DRUGS - ILLEGAL,"WC,TX",D,09/21/2017,30,0,30,INSTALLED AND USED,13,30,,392,144,,,8,,,,,,,
MARYLAND,BALTIMORE,2017-1,FINIFTER,TRIMBLE,DRUGS - ILLEGAL,WC,D,02/10/2017,30,0,30,INSTALLED AND USED,29,114,,"3,334","1,541","90,000","15,000",14,14,,,,14,,
MARYLAND,BALTIMORE,2017-2,FINIFTER,TRIMBLE,DRUGS - ILLEGAL,WC,D,02/13/2017,30,1,60,INSTALLED AND USED,44,62,,"2,756",436,"90,000","15,000",14,14,,,,14,,
MARYLAND,BALTIMORE CITY,2017-1,DIPIETRO,"CLARK, JR.",DRUGS - ILLEGAL,"WC,TX",D,05/23/2017,,0,0,INSTALLED AND USED,,,,,,,,,,,,,,,
MARYLAND,BALTIMORE CITY,2017-2,GELLER,DORIAN,INTIMIDATION,"WS,OM",O,09/08/2017,,0,0,INSTALLED AND USED,,,,,,,,,,,,,,,
MARYLAND,BALTIMORE CITY,2017-3,DIPIETRO,"CLARK, JR.",DRUGS - ILLEGAL,"WC,TX",D,04/25/2017,,1,0,INSTALLED AND USED,,,,,,,,,,,,,,,
MARYLAND,HARFORD,2017-1,MAHONEY,TREASTER,DRUGS - ILLEGAL,"WC,TX",D,04/03/2017,30,0,30,INSTALLED AND USED,15,1,3,28,1,"87,025",625,,,,,,,,
MARYLAND,HARFORD,2017-2,MAHONEY,TREASTER,DRUGS - ILLEGAL,"WC,TX",D,05/13/2017,30,0,30,INSTALLED AND USED,19,9,6,180,98,"86,935",535,,,,,,,,
MARYLAND,HARFORD,2017-3,MAHONEY,TREASTER,DRUGS - ILLEGAL,"WC,TX",D,04/03/2017,30,1,60,INSTALLED AND USED,60,69,39,"4,152","1,547","89,600","3,200",,,,,,,,
MARYLAND,HARFORD,2017-4,MAHONEY,TREASTER,DRUGS - ILLEGAL,"WC,TX",D,05/02/2017,30,0,30,INSTALLED AND USED,30,0,4,15,3,"89,600","3,200",,,,,,,,
MARYLAND,HARFORD,2017-5,MAHONEY,TREASTER,DRUGS - ILLEGAL,"WC,TX",D,04/03/2017,30,1,60,INSTALLED AND USED,60,207,74,"12,476","1,878","90,135","3,735",,,,,,,,
MARYLAND,HOWARD,2017-1,GELFMAN,BROCCOLINO,DRUGS - ILLEGAL,"WC,TX",D,08/31/2017,30,0,30,INSTALLED AND USED,27,325,256,"8,779","8,317","194,389","2,299",,,,,,,,
MARYLAND,HOWARD,2017-2,GELFMAN,BROCCOLINO,DRUGS - ILLEGAL,"OM,TX",O,08/30/2017,30,0,30,INSTALLED AND USED,28,2,34,65,51,"194,389","2,299",,,,,,,,
MARYLAND,HOWARD,2017-3,GELFMAN,BROCCOLINO,DRUGS - ILLEGAL,"WC,TX",D,08/16/2017,30,1,60,INSTALLED AND USED,42,39,172,"1,646","1,173","194,389","2,299",,,,,,,,
MARYLAND,HOWARD,2017-4,GELFMAN,BROCCOLINO,DRUGS - ILLEGAL,"WC,TX",D,08/16/2017,30,1,60,INSTALLED AND USED,42,102,335,"4,292","3,848","194,389","2,299",,,,,,,,
MARYLAND,WASHINGTON,2017-1,DWYER,"STRONG, JR.",DRUGS - ILLEGAL,WC,D,06/29/2017,30,0,30,INSTALLED AND USED,27,22,11,594,63,"227,974","11,160",10,0,,,2,0,,
MARYLAND,WASHINGTON,2017-2,DWYER,"STRONG, JR.",DRUGS - ILLEGAL,WC,D,06/16/2017,30,1,60,INSTALLED AND USED,59,194,,"11,494",440,"227,974","11,160",10,0,,,10,0,,
MARYLAND,WASHINGTON,2017-3,DWYER,"STRONG, JR.",DRUGS - ILLEGAL,WC,D,08/01/2017,30,0,30,INSTALLED AND USED,30,91,132,"2,744",,"227,974","11,160",2,2,,,2,0,,
MARYLAND,WASHINGTON,2017-4,DWYER,"STRONG, JR.",DRUGS - ILLEGAL,WC,D,08/03/2017,30,2,74,INSTALLED AND USED,72,90,,"6,493","1,079","227,974","11,160",10,0,,,10,0,,
MARYLAND,WICOMICO,2017-1,SARBANES,DISHAROON,DRUGS - ILLEGAL,WC,D,02/26/2017,30,1,60,INSTALLED AND USED,30,,,,,"231,000","11,000",2,2,,1,,2,,
MARYLAND,WICOMICO,2017-2,SARBANES,DISHAROON,DRUGS - ILLEGAL,"WC,TX",D,09/14/2017,30,1,60,INSTALLED AND USED,60,25,,"1,529",,,,,,,,,,,
MARYLAND,WICOMICO,2017-3,SARBANES,DISHAROON,DRUGS - ILLEGAL,"WC,TX",D,09/21/2017,30,1,60,INSTALLED AND USED,46,14,,659,,,,,,,,,,,
MARYLAND,WICOMICO,2017-4,SARBANES,DISHAROON,DRUGS - ILLEGAL,"WC,TX",D,10/21/2017,30,0,30,INSTALLED AND USED,17,20,,345,,"231,000","11,000",2,2,,1,,2,,
MARYLAND,WICOMICO,2017-5,SARBANES,DISHAROON,DRUGS - ILLEGAL,"WC,TX",D,08/31/2017,30,2,62,INSTALLED AND USED,62,68,,"4,272",,,,,,,,,,,
MARYLAND,WICOMICO,2017-6,SARBANES,DISHAROON,DRUGS - ILLEGAL,"WC,TX",D,10/16/2017,30,0,30,INSTALLED AND USED,22,133,,"2,926",,,,,,,,,,,
MARYLAND,WORCESTER,2017-1,GROTON,OGLESBY,NARCOTICS,"WC,TX",D,02/06/2017,30,2,90,INSTALLED AND USED,62,576,,"35,724","2,542","44,800","4,800",4,,,,,4,,
MASSACHUSETTS,BERKSHIRE,2017-1,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,04/07/2017,15,0,15,INSTALLED AND USED,15,0,5,14,9,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-2,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,05/05/2017,15,1,30,INSTALLED AND USED,15,13,28,201,165,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-3,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,04/19/2017,4,2,30,INSTALLED AND USED,30,67,105,"2,030","1,452","202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-4,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,03/31/2017,6,3,37,INSTALLED AND USED,37,50,140,"1,868",988,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-5,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,04/24/2017,11,1,26,INSTALLED AND USED,26,56,132,"1,481",864,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-6,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,06/17/2017,15,0,15,INSTALLED AND USED,1,0,0,0,0,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-7,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,06/07/2017,13,1,28,INSTALLED AND USED,28,23,38,663,419,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,BERKSHIRE,2017-8,AGOSTINI,LOCKE,NARCOTICS,"WC,TX",D,06/20/2017,14,1,29,INSTALLED AND USED,28,14,42,396,203,"202,000","21,000",17,0,0,0,0,0,,
MASSACHUSETTS,ESSEX,2017-1,DRECHSLER,KWON,NARCOTICS,WC,D,09/05/2017,15,0,15,INSTALLED AND USED,15,1,0,19,0,0,0,12,,,,,,,
MASSACHUSETTS,ESSEX,2017-2,DRECHSLER,KWON,NARCOTICS,WC,D,09/11/2017,15,0,15,INSTALLED AND USED,15,1,0,18,0,0,0,12,,,,,,,
MASSACHUSETTS,ESSEX,2017-3,DRECHSLER,KWON,NARCOTICS,WC,D,09/25/2017,15,1,30,INSTALLED AND USED,30,2,0,77,31,0,0,12,,,,,,,
MASSACHUSETTS,ESSEX,2017-4,DRECHSLER,KWON,NARCOTICS,WC,D,08/09/2017,30,3,120,INSTALLED AND USED,90,163,,"14,708","5,845","300,011","157,636",12,,,,,,,
MASSACHUSETTS,ESSEX,2017-5,DRECHSLER,KWON,NARCOTICS,WC,D,09/28/2017,15,1,30,INSTALLED AND USED,30,129,0,"3,889","1,738",0,0,12,,,,,,,
MASSACHUSETTS,HAMPDEN,2017-1,MCDONOUGH,GREEN,NARCOTICS,WC,D,11/17/2016,15,6,105,INSTALLED AND USED,97,,,,,,,4,0,,,,0,,
MASSACHUSETTS,HAMPDEN,2017-2,MASON,BEATTIE,NARCOTICS,WC,D,05/18/2017,15,5,90,INSTALLED AND USED,85,,,,,,,13,0,,,,0,,
MASSACHUSETTS,HAMPDEN,2017-3,MASON,BEATTIE,NARCOTICS,WC,D,10/10/2017,15,3,60,INSTALLED AND USED,49,,,,,,,6,0,,,,0,,
MASSACHUSETTS,HAMPSHIRE,2017-1,PIERCE,RYAN,DRUGS - ILLEGAL,WC,D,03/22/2017,15,0,15,INSTALLED AND USED,4,,,,1,,,2,0,0,0,0,0,,
MASSACHUSETTS,MIDDLESEX,2017-1,PIERCE,RYAN,DRUGS - ILLEGAL,WC,D,03/22/2017,15,0,15,INSTALLED AND USED,4,,,,1,,,2,0,0,0,0,0,,
